game_id,white_player,black_player,white_groups,black_groups,all_groups,white_spbts,black_spbts,white_exposure,black_exposure,plies_analyzed,white,black,result,date,time_control,variant,starting_fen,white_elo,black_elo,white_a,black_a,white_b,black_b,white_c,black_c,white_d,black_d,white_e,black_e,white_f,black_f,white_g,black_g,white_h,black_h,cohort_id,cohort_name,cohort_tags
,"Gordon,S","Jones,Steven A",[],[],"['rating_2000_9999', 'cohort_member']",0.1276595744680851,0.12162162162162163,141,148,23,"Gordon,S","Jones,Steven A",1-0,2025.08.02,,Standard,,2469.0,2185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.6666666666666666,0.75,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Shafi,Declan","Willow,Jonah B",[],[],"['rating_2000_9999', 'cohort_member']",0.1357142857142857,0.10606060606060606,140,132,23,"Shafi,Declan","Willow,Jonah B",0-1,2025.08.02,,Standard,,2183.0,2459.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.5833333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Williams,Si1","Kovalskyi,Roman",[],[],"['rating_2000_9999', 'cohort_member']",0.0625,0.046875,128,128,23,"Williams,Si1","Kovalskyi,Roman",1/2-1/2,2025.08.02,,Standard,,2444.0,2180.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Kanyamarala,Trisha","Roberson,P",[],[],"['rating_2000_9999', 'cohort_member']",0.234375,0.13636363636363635,128,132,23,"Kanyamarala,Trisha","Roberson,P",1/2-1/2,2025.08.02,,Standard,,2178.0,2440.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.75,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Harvey,Marcus R","Golding,James",[],[],"['rating_2000_9999', 'cohort_member']",0.029197080291970802,0.1323529411764706,137,136,23,"Harvey,Marcus R","Golding,James",1-0,2025.08.02,,Standard,,2439.0,2176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.75,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Ledger,D","Czopor,Maciej",[],[],"['rating_2000_9999', 'cohort_member']",0.17333333333333334,0.03125,150,128,23,"Ledger,D","Czopor,Maciej",1/2-1/2,2025.08.02,,Standard,,2161.0,2434.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Han,Yichen","Sedykh,Mikhail",[],[],"['rating_2000_9999', 'cohort_member']",0.17293233082706766,0.14925373134328357,133,134,23,"Han,Yichen","Sedykh,Mikhail",1-0,2025.08.02,,Standard,,2430.0,2159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Dasgupta,Avyukt","Siva,Mahadevan",[],[],"['rating_2000_9999', 'cohort_member']",0.0728476821192053,0.030303030303030304,151,132,23,"Dasgupta,Avyukt","Siva,Mahadevan",1/2-1/2,2025.08.02,,Standard,,2158.0,2416.0,0.0,0.0,0.125,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Pert,R","Brewer,Callum D",[],[],"['rating_2000_9999', 'cohort_member']",0.08333333333333333,0.1527777777777778,144,144,23,"Pert,R","Brewer,Callum D",1/2-1/2,2025.08.02,,Standard,,2409.0,2152.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Bradbury,N","Makkar,Rajat",[],[],"['rating_2000_9999', 'cohort_member']",0.1328125,0.12903225806451613,128,124,23,"Bradbury,N","Makkar,Rajat",0-1,2025.08.02,,Standard,,2137.0,2406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Zhou,Y","Eames,R",[],[],"['rating_2000_9999', 'cohort_member']",0.234375,0.19696969696969696,128,132,23,"Zhou,Y","Eames,R",1-0,2025.08.02,,Standard,,2406.0,2136.0,0.0,0.0,0.4583333333333333,0.4166666666666667,0.625,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Crawford,Owen","Kanyamarala,Tarun",[],[],"['rating_2000_9999', 'cohort_member']",0.27692307692307694,0.15384615384615385,130,130,23,"Crawford,Owen","Kanyamarala,Tarun",0-1,2025.08.02,,Standard,,2125.0,2397.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Waldhausen Gordon,Frederick","Fellowes,Billy",[],[],"['rating_2000_9999', 'cohort_member']",0.09243697478991597,0.125,119,128,23,"Waldhausen Gordon,Frederick","Fellowes,Billy",1-0,2025.08.02,,Standard,,2393.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Vaidyanathan,Adithya","Golding,Alex",[],[],"['rating_2000_9999', 'cohort_member']",0.09523809523809523,0.0,126,118,23,"Vaidyanathan,Adithya","Golding,Alex",0-1,2025.08.02,,Standard,,2115.0,2377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Claridge-Hansen,William","Adams,Henry",[],[],"['rating_2000_9999', 'cohort_member']",0.19718309859154928,0.17647058823529413,142,136,23,"Claridge-Hansen,William","Adams,Henry",1-0,2025.08.02,,Standard,,2364.0,2114.0,0.0,0.0,0.20833333333333334,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.75,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Chan,Sheng Liang Bernard","Hobson,Kenneth",[],[],"['rating_2000_9999', 'cohort_member']",0.13076923076923078,0.08196721311475409,130,122,23,"Chan,Sheng Liang Bernard","Hobson,Kenneth",0-1,2025.08.02,,Standard,,2098.0,2361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.7142857142857143,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Flear,G","Hryshchenko,Kamila",[],[],"['rating_2000_9999', 'cohort_member']",0.03875968992248062,0.1746031746031746,129,126,23,"Flear,G","Hryshchenko,Kamila",1-0,2025.08.02,,Standard,,2358.0,2097.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Stoica,Savas Marin","Tanmay,Chopra",[],[],"['rating_2000_9999', 'cohort_member']",0.1349206349206349,0.22535211267605634,126,142,23,"Stoica,Savas Marin","Tanmay,Chopra",1/2-1/2,2025.08.02,,Standard,,2092.0,2357.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.7083333333333334,0.9166666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Eggleston,D","Honey,Luke Anthony",[],[],"['rating_2000_9999', 'cohort_member']",0.13793103448275862,0.11538461538461539,145,156,23,"Eggleston,D","Honey,Luke Anthony",1-0,2025.08.02,,Standard,,2348.0,2082.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5833333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Pereslavtsev,Alexandr","Derakhshani,Borna",[],[],"['rating_2000_9999', 'cohort_member']",0.0,0.06299212598425197,131,127,23,"Pereslavtsev,Alexandr","Derakhshani,Borna",0-1,2025.08.02,,Standard,,2079.0,2348.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Hebden,M","Malinovsky,I",[],[],"['rating_2000_9999', 'cohort_member']",0.18699186991869918,0.15873015873015872,123,126,23,"Hebden,M","Malinovsky,I",1-0,2025.08.02,,Standard,,2347.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Kueh,Audrey","Wells,P",[],[],"['rating_2000_9999', 'cohort_member']",0.17333333333333334,0.0847457627118644,150,118,23,"Kueh,Audrey","Wells,P",1/2-1/2,2025.08.02,,Standard,,2071.0,2339.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.5555555555555556,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Ledger,A","Liu,Tianyi (Jack)",[],[],"['rating_2000_9999', 'cohort_member']",0.19008264462809918,0.17647058823529413,121,136,23,"Ledger,A","Liu,Tianyi (Jack)",1-0,2025.08.02,,Standard,,2323.0,2071.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.75,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Dicen,Elis Denele","Kalavannan,Koby",[],[],"['rating_2000_9999', 'cohort_member']",0.17424242424242425,0.15492957746478872,132,142,23,"Dicen,Elis Denele","Kalavannan,Koby",0-1,2025.08.02,,Standard,,2069.0,2323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.9166666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Fava,Lorenzo","Weersing,Abigail Riis",[],[],"['rating_2000_9999', 'cohort_member']",0.17164179104477612,0.14285714285714285,134,140,23,"Fava,Lorenzo","Weersing,Abigail Riis",1-0,2025.08.02,,Standard,,2318.0,2056.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.5833333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Ashworth,Michael","Yao,Lan",[],[],"['rating_2000_9999', 'cohort_member']",0.15555555555555556,0.13043478260869565,135,138,23,"Ashworth,Michael","Yao,Lan",1-0,2025.08.02,,Standard,,2053.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.875,0.4166666666666667,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Vijayakumar,Rishi","Bharat Kumar,Balahari",[],[],"['rating_2000_9999', 'cohort_member']",0.11627906976744186,0.08181818181818182,129,110,23,"Vijayakumar,Rishi","Bharat Kumar,Balahari",1/2-1/2,2025.08.02,,Standard,,2310.0,2052.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Harborne,M","Badacsonyi,Stanley",[],[],"['rating_2000_9999', 'cohort_member']",0.12162162162162163,0.0703125,148,128,23,"Harborne,M","Badacsonyi,Stanley",1/2-1/2,2025.08.02,,Standard,,2048.0,2309.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Hunt,H","Lebedev,Lion",[],[],"['rating_2000_9999', 'cohort_member']",0.2727272727272727,0.3157894736842105,143,114,23,"Hunt,H","Lebedev,Lion",1-0,2025.08.02,,Standard,,2294.0,2048.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.875,0.6666666666666666,0.20833333333333334,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Patel,Zain","Davies,Ni",[],[],"['rating_2000_9999', 'cohort_member']",0.264,0.19117647058823528,125,136,23,"Patel,Zain","Davies,Ni",0-1,2025.08.02,,Standard,,2048.0,2291.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.9583333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Mirzoeva,E","Verbytski,Oleg",[],[],"['rating_2000_9999', 'cohort_member']",0.17142857142857143,0.16417910447761194,140,134,23,"Mirzoeva,E","Verbytski,Oleg",1/2-1/2,2025.08.02,,Standard,,2282.0,2001.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.9166666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Deepak Ambattu,Rithvik","Boswell,Jacob Connor",[],[],"['rating_2000_9999', 'cohort_member']",0.22962962962962963,0.0,135,136,23,"Deepak Ambattu,Rithvik","Boswell,Jacob Connor",1/2-1/2,2025.08.02,,Standard,,1990.0,2278.0,0.0,0.0,0.125,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Shearsby,Jude","Jukes,Sam",[],[],"['rating_2000_9999', 'cohort_member']",0.16911764705882354,0.08108108108108109,136,148,23,"Shearsby,Jude","Jukes,Sam",1-0,2025.08.02,,Standard,,2270.0,1972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.5,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Strade,Arita","Webb,L",[],[],"['rating_2000_9999', 'cohort_member']",0.06923076923076923,0.07936507936507936,130,126,23,"Strade,Arita","Webb,L",0-1,2025.08.02,,Standard,,1971.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4166666666666667,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Pert,Max","Turner,Lewis A",[],[],"['rating_2000_9999', 'cohort_member']",0.06493506493506493,0.060810810810810814,154,148,23,"Pert,Max","Turner,Lewis A",1-0,2025.08.02,,Standard,,2263.0,1965.0,0.0,0.0,0.0,0.25,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Carpenter,Paul A","Rudd,J",[],[],"['rating_2000_9999', 'cohort_member']",0.0,0.14705882352941177,118,136,23,"Carpenter,Paul A","Rudd,J",0-1,2025.08.02,,Standard,,1922.0,2259.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Dishman,S","Gunarathne,Senith Thenula",[],[],"['rating_2000_9999', 'cohort_member']",0.15555555555555556,0.14705882352941177,135,136,23,"Dishman,S","Gunarathne,Senith Thenula",1-0,2025.08.02,,Standard,,2254.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.8333333333333334,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Nevska,Gerda","Dickenson,N",[],[],"['rating_2000_9999', 'cohort_member']",0.032,0.04142011834319527,125,169,23,"Nevska,Gerda","Dickenson,N",0-1,2025.08.02,,Standard,,1799.0,2247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.30434782608695654,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Richardson,Joh","Korsinskij,Marek",[],[],"['rating_2000_9999', 'cohort_member']",0.08823529411764706,0.08,136,150,23,"Richardson,Joh","Korsinskij,Marek",1-0,2025.08.02,,Standard,,2246.0,1727.0,0.0,0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.5,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Hobson,Kenneth","Vitiugov,N",[],[],"['rating_2000_9999', 'cohort_member']",0.2198581560283688,0.028985507246376812,141,138,23,"Hobson,Kenneth","Vitiugov,N",0-1,2025.08.03,,Standard,,2361.0,2676.0,0.0,0.0,0.625,0.25,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Adams,Mi","Flear,G",[],[],"['rating_2000_9999', 'cohort_member']",0.16129032258064516,0.22580645161290322,155,124,23,"Adams,Mi","Flear,G",1/2-1/2,2025.08.03,,Standard,,2663.0,2358.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.875,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Eggleston,D","Maroroa Jones,Gawain C B",[],[],"['rating_2000_9999', 'cohort_member']",0.11724137931034483,0.12698412698412698,145,126,23,"Eggleston,D","Maroroa Jones,Gawain C B",1-0,2025.08.03,,Standard,,2348.0,2651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Conquest,S","Hebden,M",[],[],"['rating_2000_9999', 'cohort_member']",0.0,0.13333333333333333,107,120,23,"Conquest,S","Hebden,M",1/2-1/2,2025.08.03,,Standard,,2511.0,2347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Derakhshani,Borna","Ghasi,A",[],[],"['rating_2000_9999', 'cohort_member']",0.14615384615384616,0.0,130,132,23,"Derakhshani,Borna","Ghasi,A",0-1,2025.08.03,,Standard,,2348.0,2501.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Fernandez,Dan SIN","Ledger,A",[],[],"['rating_2000_9999', 'cohort_member']",0.14285714285714285,0.23484848484848486,119,132,23,"Fernandez,Dan SIN","Ledger,A",1-0,2025.08.03,,Standard,,2500.0,2323.0,0.0,0.0,0.375,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.8333333333333334,0.0,0.125,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Kalavannan,Koby","Royal,Shreyas",[],[],"['rating_2000_9999', 'cohort_member']",0.1640625,0.140625,128,128,23,"Kalavannan,Koby","Royal,Shreyas",0-1,2025.08.03,,Standard,,2323.0,2495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.75,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
,"Clarke,B","Fava,Lorenzo",[],[],"['rating_2000_9999', 'cohort_member']",0.2446043165467626,0.27692307692307694,139,130,23,"Clarke,B","Fava,Lorenzo",0-1,2025.08.03,,Standard,,2491.0,2318.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.875,0.6666666666666666,0.0,0.0,0.0,0.0,twic_strong,Strong Human Games (TWIC 2000+),"['human', 'strong', 'tournament', 'twic']"
